ENGR 102 Team Project- House of Cards,,,,
Team Number, Total Profit ($), Profit Accuracy, Height (in), # Pennies
1,62500,4%,80,40
2,56500,9%,42,20
3,20000,30%,55,160
4,8000,38%,36,30
5,50000,45%,63,170
6,45500,50%,40,100
7,95000,55%,45,90
8,22000,57%,40,50
9,10000,60%,40,30
10,65000,78%,58,100
11,82000,85%,60,90
12,95500,90%,70,150
13,8000,38%,36,30
14,45500,50%,40,100
15,22000,57%,40,50
16,10000,60%,40,30
17,56500,90%,42,20
18,95000,55%,45,90
19,20000,30%,55,160
20,65000,78%,58,100
21,82000,85%,60,90
22,50000,45%,63,170
23,95500,90%,70,150
24,62500,40%,80,40
25,8000,38%,36,30
26,10000,60%,40,30
27,20000,30%,55,160
28,22000,57%,40,50
29,45500,50%,40,100
30,50000,45%,63,170
31,56500,90%,42,20
32,62500,40%,80,40
33,65000,78%,58,100
34,82000,85%,60,90
35,95000,55%,45,90
36,95500,90%,70,150
37,22000,93%,36,30
38,45000,90%,40,30
39,90500,97%,63.25,10
40,103500,97%,50,140
41,2000,69%,36.25,20
42,126500,99%,85,10
43,-2500,58%,37,40
44,40500,10%,37,80
45,116000,93%,64,20
46,97500,96%,60,30
47,97000,99%,45.25,40
48,-78500,85%,38,0
49,72500,96%,40,60
50,58000,90%,50,10
51,64000,95%,40,100
52,53000,87%,36.5,10
53,67000,95%,60,50
54,129000,93%,97,10
55,39500,88%,40,40
56,123500,99%,80,10
57,39500,83%,48,20
58,74500,94%,70,30
18,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,1018,66000,100%,68,10